line_id,line_name,line_routes,line_pattern,color,municipality_id
4103,Moita (Estação) - Sarilhos Pequenos,['4103_0'],"['4103_0_2', '4103_0_1']",#3D85C6,['1506']
4104,Moita | Circular via centro,['4104_0'],['4104_0_3'],#3D85C6,['1506']
4105,Moita | Circular via Carvalhinho,['4105_0_3'],['4105_0_3'],#3D85C6,['1506']
4106,Alhos Vedros | Circular via Centro de Saúde,['4106_0'],['4106_0_3'],#3D85C6,['1506']
4107,Alhos Vedros | Circular via Arroteias,['4107_0'],['4107_0_3'],#3D85C6,['1506']
4202,Afonsoeiro - Bairro do Saldanha via Bairro da Calçada,['4202_0'],"['4202_0_2', '4202_0_1']",#C61D23,['1507']
4203,Afonsoeiro - Montijo (Terminal Fluvial) via Bairro da Liberdade,['4203_0'],"['4203_0_2', '4203_0_1']",#3D85C6,['1507']
4204,Bairro do Charqueirão - Montijo (Terminal Fluvial),['4204_0'],"['4204_0_2', '4204_0_1']",#3D85C6,['1507']
4205,Bairro do Charqueirão - Montijo (Terminal Fluvial) via Vale Porim,['4205_0'],"['4205_0_2', '4205_0_1']",#C61D23,"['1502', '1507']"
4206,Bairro Esteval - Montijo (Terminal Fluvial),['4206_0'],"['4206_0_2', '4206_0_1']",#3D85C6,['1507']
4207,Montijo (Área Comercial) - Montijo (Terminal Fluvial),"['4207_2', '4207_1', '4207_0']","['4207_2_2', '4207_1_1', '4207_0_2', '4207_0_1']",#3D85C6,['1507']
4208,Montijo (Terminal Fluvial) - Sarilhos Grandes (Estr. 4 Marcos),['4208_0'],"['4208_0_2', '4208_0_1']",#C61D23,['1507']
4211,Craveiras - Pegões | Circular,['4211_0'],['4211_0_3'],#3D85C6,['1507']
4212,Foros Boavista - Pegões,['4212_0'],"['4212_0_2', '4212_0_1']",#C61D23,['1507']
4301,Palmela (Terminal) | Circular Escolas,['4301_0'],['4301_0_3'],#3D85C6,['1508']
4302,Palmela (Estação) - Palmela (Terminal),['4302_0'],"['4302_0_2', '4302_0_1']",#C61D23,['1508']
4303,Palmela | Circular,['4303_0'],['4303_0_3'],#3D85C6,['1508']
4304,Palmela (Terminal) - Penalva,['4304_0'],"['4304_0_2', '4304_0_1']",#C61D23,['1508']
4305,Brejos do Assa - Palmela (Terminal),['4305_0'],"['4305_0_2', '4305_0_1']",#C61D23,['1508']
4307,Loja Nova - Palmela (Terminal),"['4307_1', '4307_0']","['4307_1_2', '4307_0_2', '4307_0_1']",#C61D23,['1508']
4308,Palmela (Terminal) - Pinhal Novo (Estação),['4308_0'],"['4308_0_2', '4308_0_1']",#C61D23,['1508']
4310,Águas de Moura - Poceirão,['4310_0'],"['4310_0_2', '4310_0_1']",#C61D23,['1508']
4311,Asseiceira - Poceirão,['4311_0'],"['4311_0_2', '4311_0_1']",#C61D23,['1508']
4312,Poceirão - Vale Abrunheira (X) via Fernando Pó,"['4312_2', '4312_1', '4312_0']","['4312_2_2', '4312_1_2', '4312_1_1', '4312_0_2', '4312_0_1']",#C61D23,"['1508', '1512']"
